区名,学校代码,学校名称,录取最低分,语数外,数学,语文,综合测试
徐汇区,021004,上海市第二中学,682.5,398.0,135.0,122.0,133.0
徐汇区,021005,上海市南洋中学,672.0,392.0,133.0,120.0,130.0
徐汇区,021006,上海市第五十四中学,651.0,380.0,127.0,117.0,124.0
徐汇区,021007,上海市第四中学,643.0,375.0,125.0,116.0,122.0
徐汇区,021008,上海市西南位育中学,665.0,388.0,132.0,119.0,129.0
徐汇区,021009,上海市中国中学,648.0,378.0,127.0,117.0,124.0
徐汇区,021010,上海市西南模范中学,657.0,383.0,130.0,118.0,127.0
徐汇区,021011,上海市园南中学,739.0,431.0,147.0,129.0,149.0
徐汇区,021012,上海市徐汇中学,680.5,397.0,136.0,122.0,134.0
徐汇区,021013,上海市南洋模范初级中学,728.5,425.0,145.0,128.0,146.0
徐汇区,021014,上海市田林中学,727.0,424.0,145.0,128.0,146.0
徐汇区,021015,上海民办南模中学,727.0,424.0,145.0,128.0,146.0
徐汇区,021016,上海市位育初级中学,726.5,424.0,145.0,128.0,146.0
徐汇区,021017,上海师范大学第三附属实验学校,725.5,423.0,144.0,128.0,146.0
徐汇区,021018,上海市西南模范中学,737.5,430.0,147.0,129.0,148.0
徐汇区,021019,上海市中国中学,737.5,430.0,147.0,129.0,148.0
徐汇区,021020,上海市园南中学,739.0,431.0,147.0,129.0,149.0
长宁区,031001,上海市第三女子中学,652.0,380.0,129.0,117.0,125.0
长宁区,031002,上海市延安中学,682.5,398.0,136.0,122.0,135.0
长宁区,031003,上海市复旦中学,668.0,390.0,133.0,120.0,131.0
长宁区,031004,上海市天山中学,641.5,374.0,127.0,116.0,124.0
长宁区,031005,上海市建青实验学校,628.0,366.0,124.0,114.0,121.0
长宁区,031006,上海市华师大附属天山学校,641.5,374.0,127.0,116.0,124.0
长宁区,031007,上海市仙霞高级中学,610.0,356.0,120.0,111.0,116.0
长宁区,031008,上海市西郊学校,592.0,345.0,116.0,108.0,113.0
长宁区,031009,上海市新泾中学,694.5,405.0,138.0,123.0,139.0
长宁区,031010,上海市第三女子初级中学,702.5,410.0,140.0,124.0,141.0
长宁区,031011,上海市仙霞高级中学,702.5,410.0,140.0,124.0,141.0
长宁区,031012,上海市娄山中学,701.0,409.0,139.0,124.0,141.0
长宁区,031013,华东政法大学附属中学,697.5,407.0,138.0,123.0,140.0
长宁区,031014,上海市天山初级中学,695.0,406.0,138.0,123.0,140.0
长宁区,031015,上海市延安实验初级中学,695.0,406.0,138.0,123.0,140.0
长宁区,031016,上海市延安初级中学,695.0,406.0,138.0,123.0,140.0
长宁区,031017,上海市泸定中学,694.5,405.0,138.0,123.0,139.0
长宁区,031018,上海市新泾中学,694.5,405.0,138.0,123.0,139.0
长宁区,031019,上海市西延安中学,693.5,405.0,137.0,123.0,139.0
长宁区,031020,上海市天山第二中学,693.0,404.0,137.0,123.0,139.0
长宁区,031021,上海市姚连生中学,692.5,404.0,137.0,123.0,139.0
长宁区,031022,上海市复旦初级中学,692.0,404.0,137.0,123.0,139.0
长宁区,031023,上海市民办新世纪中学,689.5,402.0,136.0,122.0,138.0
长宁区,031024,上海市开元学校,682.5,398.0,135.0,121.0,137.0
长宁区,031025,上海市建青实验学校,681.0,397.0,135.0,121.0,137.0
长宁区,031026,上海市虹桥中学,666.5,389.0,132.0,119.0,134.0
长宁区,031027,上海市西郊学校,706.5,412.0,141.0,124.0,142.0
长宁区,031028,上海市娄山中学,738.5,431.0,147.0,129.0,149.0
长宁区,031029,上海市民办新世纪中学,738.0,430.0,147.0,129.0,149.0
静安区,041001,上海市市西中学,685.0,401.0,133.0,128.0,136.0
静安区,041002,上海市育才中学,668.0,396.5,132.0,123.0,128.0
静安区,041003,上海市新中高级中学,665.0,396.0,132.0,129.0,130.0
静安区,041004,上海市市北中学,676.5,408.0,129.0,138.0,126.0
静安区,041005,上海市回民中学,601.0,358.0,114.0,119.0,101.0
静安区,041006,上海市民立中学,636.0,371.0,108.0,124.0,124.0
静安区,041007,上海市第一中学,606.5,364.0,110.0,117.0,111.0
静安区,041008,上海市风华中学,649.5,371.0,121.0,117.0,132.0
静安区,041009,上海市第六十中学,635.0,367.0,106.0,121.0,131.0
静安区,041010,上海市彭浦中学,621.5,363.0,130.0,115.0,120.0
静安区,041011,上海市久隆模范中学,631.0,367.0,128.0,111.0,129.0
静安区,041012,上海市久隆模范中学（收费生）,648.0,382.5,130.0,118.0,125.0
静安区,041013,上海市闸北第八中学,593.0,340.0,116.0,108.0,118.0
静安区,041014,上海市华东模范中学,620.5,367.0,113.0,126.0,111.0
静安区,041015,同济大学附属七一中学,584.5,344.5,99.0,118.0,99.0
静安区,041016,上海戏剧学院附属高级中学,579.5,338.0,109.0,118.0,105.0
静安区,041017,上海戏剧学院附属高级中学（艺术班）,574.5,332.0,90.0,117.0,102.0
静安区,041018,上海市向东中学,565.0,313.0,106.0,110.0,116.0
静安区,041019,上海大学市北附属中学,542.5,296.5,110.0,91.0,114.0
静安区,041020,上海田家炳中学,624.5,374.5,117.0,120.0,114.0
静安区,041021,上海市民办扬波中学,523.5,300.5,88.0,102.0,100.0
静安区,041022,上海市民办新和中学,550.5,303.5,105.0,109.0,120.0
静安区,041023,上海市民办风范中学,513.5,291.5,98.0,100.0,92.0
静安区,041024,上海市育才初级中学,727.0,424.0,145.0,128.0,146.0
静安区,041025,上海市静安区教育学院附属学校,726.0,424.0,145.0,128.0,146.0
静安区,041026,上海市风华初级中学,725.0,423.0,144.0,128.0,146.0
静安区,041027,上海市彭浦第三中学,725.0,423.0,144.0,128.0,146.0
静安区,041028,同济大学附属七一中学,725.0,423.0,144.0,128.0,146.0
静安区,041029,上海市市北初级中学,724.5,423.0,144.0,128.0,146.0
普陀区,051001,上海市曹杨第二中学,692.0,404.0,138.0,122.0,137.0
普陀区,051002,上海市晋元高级中学,684.0,399.0,136.0,121.0,135.0
普陀区,051003,上海市宜川中学,666.0,388.0,132.0,118.0,131.0
普陀区,051004,上海市曹杨中学,654.0,381.0,129.0,117.0,128.0
普陀区,051005,上海市甘泉外国语中学,649.5,379.0,128.0,116.0,127.0
普陀区,051006,上海市长征中学,626.0,365.0,123.0,113.0,121.0
普陀区,051007,上海市同济第二附属中学,641.0,374.0,127.0,116.0,126.0
普陀区,051008,上海音乐学院附属安师实验中学,573.5,334.0,112.0,107.0,110.0
普陀区,051009,上海市桃浦中学,596.0,347.0,117.0,109.0,115.0
普陀区,051010,上海市曹杨第二中学附属学校,727.0,424.0,145.0,128.0,146.0
普陀区,051011,上海市洛川学校,727.5,424.0,145.0,128.0,147.0
普陀区,051012,上海市普陀区教育学院附属学校,728.5,425.0,145.0,128.0,147.0
普陀区,051013,上海市民办新黄浦实验学校,729.0,425.0,145.0,128.0,147.0
普陀区,051014,上海市桃浦中学,730.0,426.0,145.0,128.0,147.0
普陀区,051015,上海师范大学附属第二实验学校,729.5,426.0,145.0,128.0,147.0
普陀区,051016,上海市晋元高级中学附属学校,731.5,427.0,146.0,129.0,148.0
普陀区,051017,上海市晋元高级中学附属学校南校,735.0,429.0,146.0,129.0,148.0
普陀区,051018,上海市江宁学校,732.5,428.0,146.0,129.0,148.0
普陀区,051019,上海市甘泉外国语中学,745.5,435.0,148.0,130.0,150.0
普陀区,051020,华东师范大学附属外国语实验学校,746.0,435.0,148.0,130.0,150.0
普陀区,051021,上海市万里城实验学校,750.0,438.0,149.0,131.0,151.0
普陀区,051022,上海市延河中学,724.0,422.0,144.0,127.0,145.0
普陀区,051023,上海市子长学校,711.0,415.0,141.0,126.0,143.0
普陀区,051024,上海音乐学院附属安师实验中学,689.5,402.0,136.0,122.0,138.0
普陀区,051025,上海市金鼎学校,671.5,392.0,133.0,120.0,135.0
虹口区,061001,上海市复兴高级中学,690.0,402.0,137.0,122.0,136.0
虹口区,061002,上海市华东师范大学第一附属中学,672.5,392.0,133.0,119.0,131.0
虹口区,061003,上海市北郊高级中学,659.5,385.0,131.0,117.0,128.0
虹口区,061004,上海市虹口高级中学,641.5,374.0,127.0,115.0,124.0
虹口区,061005,上海市澄衷高级中学,600.5,350.0,118.0,110.0,115.0
虹口区,061006,上海市鲁迅中学,571.0,333.0,112.0,106.0,109.0
虹口区,061007,上海市第五十二中学,541.0,315.0,105.0,102.0,103.0
虹口区,061008,上海外国语大学第一实验学校,688.5,401.0,137.0,122.0,136.0
虹口区,061009,上海市民办新华初级中学,696.5,406.0,139.0,123.0,138.0
虹口区,061010,上海音乐学院虹口区实验中学,695.5,406.0,139.0,123.0,138.0
虹口区,061011,上海市鲁迅初级中学,698.5,407.0,139.0,123.0,139.0
虹口区,061012,上海市虹口实验学校,700.0,408.0,140.0,124.0,139.0
虹口区,061013,上海市第五十二中学,692.0,404.0,138.0,123.0,137.0
虹口区,061014,同济大学附属澄衷中学,691.5,403.0,138.0,122.0,137.0
虹口区,061015,上海世外教育附属虹口区欧阳学校,690.5,403.0,137.0,122.0,137.0
虹口区,061016,上海外国语大学第一实验学校,688.5,402.0,137.0,122.0,136.0
虹口区,061017,上海市虹口高级中学,641.5,374.0,127.0,115.0,124.0
虹口区,061018,上海存志高级中学,638.5,372.0,126.0,115.0,123.0
虹口区,061019,上海创艺高级中学,518.5,302.0,101.0,100.0,98.0
虹口区,061020,维尚高级中学,573.5,334.0,112.0,107.0,110.0
杨浦区,071001,上海市控江中学,690.0,402.0,137.0,122.0,136.0
杨浦区,071002,上海市杨浦高级中学,675.5,394.0,134.0,119.0,132.0
杨浦区,071003,同济大学第一附属中学,661.0,386.0,131.0,117.0,128.0
杨浦区,071004,上海理工大学附属中学,645.5,376.0,127.0,115.0,124.0
杨浦区,071005,上海市市东中学,633.0,369.0,125.0,113.0,121.0
杨浦区,071006,上海市上财附属中学,616.5,359.0,121.0,111.0,117.0
杨浦区,071007,上海市复旦实验中学,626.5,365.0,123.0,113.0,120.0
杨浦区,071008,上海市同济中学,602.5,351.0,118.0,109.0,114.0
杨浦区,071009,上海市民星中学,557.0,325.0,109.0,104.0,105.0
杨浦区,071010,上海市少云中学,570.0,332.0,111.0,106.0,108.0
杨浦区,071011,上海理工大学附属储能中学,699.5,408.0,138.0,123.0,141.0
杨浦区,071012,上海财经大学附属中学,633.5,369.0,125.0,113.0,121.0
杨浦区,071013,上海市民办上实剑桥外国语中学,518.0,302.0,101.0,100.0,98.0
杨浦区,071014,复旦大学第二附属中学,677.5,395.0,134.0,120.0,134.0
杨浦区,071015,上海市十五中学,749.0,437.0,149.0,131.0,151.0
杨浦区,071016,上海音乐学院实验学校,748.5,436.0,149.0,131.0,151.0
杨浦区,071017,上海市三门中学(上海财经大学附属初级中学）,748.0,436.0,149.0,131.0,151.0
杨浦区,071018,上海杨浦双语学校,748.0,436.0,149.0,131.0,151.0
杨浦区,071019,上海市东辽阳中学,746.0,435.0,148.0,130.0,150.0
杨浦区,071020,上海民办兰生中学,745.0,435.0,148.0,130.0,150.0
杨浦区,071021,上海市昆明学校,745.0,435.0,148.0,130.0,150.0
杨浦区,071022,上海市铁岭中学,743.5,434.0,148.0,130.0,150.0
闵行区,081001,上海市七宝中学,695.5,406.0,139.0,123.0,138.0
闵行区,081002,上海市闵行中学,672.0,392.0,133.0,119.0,132.0
闵行区,081003,上海市莘庄中学,664.5,387.0,131.0,118.0,130.0
闵行区,081004,上海市闵行第三中学,651.5,380.0,129.0,116.0,127.0
闵行区,081005,上海市文来中学,639.0,369.0,132.0,110.0,133.0
闵行区,081006,上海市古美高级中学,628.5,366.0,124.0,116.0,123.0
闵行区,081007,上海市金汇高级中学,614.0,358.0,121.0,113.0,119.0
闵行区,081008,上海市闵行第二中学,603.0,352.0,119.0,111.0,116.0
闵行区,081009,上海市浦江高级中学,587.0,342.0,115.0,108.0,112.0
闵行区,081010,上海市莘庄第二中学,575.0,335.0,112.0,106.0,109.0
闵行区,081011,上海市闵行第五中学,562.0,328.0,109.0,104.0,106.0
闵行区,081012,上海市闵行中学东校,657.0,383.0,130.0,118.0,129.0
闵行区,081013,上海市七宝中学浦江分校,669.5,390.0,133.0,120.0,132.0
闵行区,081014,上海市闵行第三中学,651.5,380.0,129.0,116.0,127.0
闵行区,081015,上海市闵行区教育学院附属友爱实验中学,632.0,368.0,124.0,114.0,122.0
闵行区,081016,上海市闵行区教育学院附属中学,598.0,349.0,118.0,110.0,116.0
闵行区,081017,上海市闵行区实验高级中学,628.5,366.0,124.0,115.0,123.0
闵行区,081018,北京外国语大学附属上海闵行田园高级中学,636.0,371.0,126.0,116.0,124.0
闵行区,081019,华东理工大学附属闵行科技高级中学,646.5,377.0,128.0,117.0,126.0
闵行区,081020,上海师范大学附属闵行第三中学,633.0,369.0,125.0,115.0,122.0
宝山区,132001,上海市行知中学,683.5,404.5,140.0,121.0,134.0
宝山区,132002,上海大学附属中学,666.0,396.0,133.0,120.0,126.0
宝山区,132003,上海师范大学附属中学宝山分校,681.0,397.0,147.0,115.0,137.0
宝山区,133001,上海市吴淞中学,667.0,400.0,136.0,121.0,125.0
宝山区,133002,上海师范大学附属宝山罗店中学,649.5,384.0,129.0,120.0,125.0
宝山区,133003,华东师范大学第二附属中学（宝山校区）,696.0,412.0,143.0,129.0,138.0
宝山区,134001,上海市宝山中学,635.0,384.0,127.0,121.0,113.0
宝山区,134002,上海市通河中学,626.0,373.0,119.0,121.0,114.0
宝山区,134003,上海市淞浦中学,558.0,340.5,95.0,113.0,98.0
宝山区,134004,上海市顾村中学,611.5,374.0,123.0,117.0,106.0
宝山区,134005,上海市行知实验中学,602.0,353.0,117.0,110.0,114.0
宝山区,134006,上海市高境第一中学,589.5,340.5,102.0,111.0,116.0
宝山区,134009,上海市宝山区海滨中学,578.0,326.5,109.0,117.0,111.0
宝山区,134010,上海民办行中中学,513.0,,,,
宝山区,134012,上海存志高级中学,580.5,337.5,110.0,107.0,112.0
宝山区,134013,上海宝山区民办维尚高级中学,513.0,,,,
宝山区,134014,上海创艺高级中学,513.0,,,,
宝山区,134015,上海市宝山华曜高级中学,513.0,,,,
宝山区,135001,上海市同洲模范学校,513.0,,,,
宝山区,135003,上海金瑞学校,513.0,,,,
宝山区,135034,上海宝山区世外学校,663.0,391.0,138.0,122.0,131.0
宝山区,014006,上海市同济黄浦设计创意中学,633.0,365.5,114.0,118.0,129.0
宝山区,042032,上海市上海中学,710.0,427.0,150.0,130.0,140.0
宝山区,063008,上海市久隆模范中学,631.5,367.5,125.0,107.0,118.0
宝山区,064020,上海田家炳中学,644.0,376.0,130.0,123.0,128.0
宝山区,064021,上海市民办扬波中学,557.0,334.0,107.0,113.0,90.0
宝山区,064023,上海市民办新和中学,597.0,352.5,105.0,107.0,113.0
宝山区,064024,上海市民办风范中学,558.0,322.0,100.0,115.0,96.0
宝山区,069004,上海戏剧学院附属高级中学（艺术班）,600.5,352.5,113.0,124.0,109.0
宝山区,074081,上海安生学校,513.0,,,,
宝山区,079016,上海音乐学院附属安师实验中学（艺术班）,588.0,340.0,102.0,116.0,117.0
宝山区,102056,上海交通大学附属中学,709.0,416.0,142.0,130.0,145.0
宝山区,102057,复旦大学附属中学,711.5,419.5,143.0,129.0,144.0
宝山区,124116,上海市民办燎原双语高级中学,598.5,348.0,111.0,113.0,120.0
宝山区,145007,上海市民办远东学校,554.5,320.5,102.0,111.0,99.0
宝山区,145018,上海华旭双语学校,513.0,,,,
宝山区,145030,上海嘉定区民办华盛怀少学校,513.0,,,,
宝山区,152003,华东师范大学第二附属中学,709.0,416.0,144.0,131.0,145.0
宝山区,154033,上海市浦东新区民办浦实高级中学,513.0,,,,
宝山区,154039,上海市民办丰华高级中学,543.0,335.0,92.0,116.0,82.0
宝山区,154048,民办上海工商外国语职业学院附属中学,547.5,284.5,96.0,100.0,130.0
宝山区,155041,上海浦东新区民办东鼎外国语学校,556.5,319.5,108.0,110.0,106.0
宝山区,155043,上海市民办尚德实验学校,621.0,366.0,133.0,119.0,121.0
宝山区,164005,上海市民办交大南洋中学,518.0,291.0,75.0,114.0,98.0
宝山区,164008,上海市民办永昌中学,513.0,,,,
宝山区,165004,上海金山区世外学校,645.5,386.0,130.0,125.0,121.0
宝山区,173002,上海市松江区科德高级中学,513.0,,,,
宝山区,174013,上海领科双语学校,644.0,384.0,130.0,117.0,122.0
宝山区,175018,上海市西外外国语学校,513.0,,,,
宝山区,175024,上海赫贤学校,513.0,,,,
宝山区,175025,上海松江区爱菊学校,513.0,,,,
宝山区,184006,上海青浦区世外高级中学,583.0,350.5,111.0,113.0,103.0
宝山区,184007,上海青浦区宏润博源高级中学,513.0,,,,
宝山区,185014,上海青浦区协和双语学校,513.0,,,,
宝山区,204020,上海美达菲双语高级中学,513.0,,,,
宝山区,205006,上海奉贤区博华高级中学,545.0,316.0,104.0,115.0,102.0
宝山区,514001,上海市崇明区城桥中学,570.5,337.5,112.0,110.0,100.0
宝山区,514010,上海民办民一中学,503.5,266.5,104.0,98.0,108.0
嘉定区,141001,上海市嘉定区第一中学,677.0,403.0,138.0,121.0,135.0
嘉定区,141002,上海交通大学附属中学嘉定分校,689.0,408.0,141.0,122.0,138.0
嘉定区,141003,上海师范大学附属中学嘉定新城分校,679.0,408.0,141.0,122.0,138.0
嘉定区,141004,上海市嘉定区第二中学,648.5,387.5,132.0,119.0,129.0
嘉定区,141005,上海市嘉定区嘉一实验高级中学,663.0,384.0,131.0,118.0,128.0
嘉定区,141006,上海师范大学附属嘉定高级中学,636.0,371.0,126.0,116.0,124.0
嘉定区,141007,上海市嘉定区安亭高级中学,623.5,361.5,124.0,113.0,121.0
嘉定区,141008,上海大学附属嘉定高级中学,611.5,351.5,120.0,111.0,118.0
嘉定区,141009,上海市嘉定区中光高级中学,595.5,347.0,118.0,110.0,115.0
嘉定区,141010,上海市嘉定区封浜高级中学,576.0,335.5,113.0,107.0,111.0
嘉定区,141011,上海市民办远东学校,543.5,313.0,105.0,102.0,104.0
嘉定区,141012,上海华旭双语学校,513.0,,,,
嘉定区,141013,上海嘉定区民办华盛怀少学校,513.0,,,,
嘉定区,141014,上海市同济黄浦设计创意中学,630.0,367.0,125.0,115.0,123.0
嘉定区,141015,上海市上海中学,710.0,414.0,142.0,125.0,139.0
嘉定区,141016,上海市久隆模范中学,640.5,373.0,127.0,116.0,124.0
嘉定区,141017,上海田家炳中学,647.0,377.0,128.0,117.0,125.0
嘉定区,141018,上海市民办新和中学,592.0,345.0,116.0,110.0,114.0
嘉定区,141019,上海戏剧学院附属高级中学（艺术班）,642.5,375.0,128.0,117.0,125.0
嘉定区,141020,上海安生学校,535.0,312.0,105.0,101.0,103.0
嘉定区,141021,上海音乐学院附属安师实验中学（艺术班）,621.5,362.0,123.0,114.0,118.0
嘉定区,141022,上海交通大学附属中学,709.0,413.0,141.0,125.0,139.0
嘉定区,141023,复旦大学附属中学,710.0,414.0,142.0,125.0,139.0
嘉定区,141024,上海民办行中中学,539.0,314.0,105.0,102.0,104.0
嘉定区,141025,上海存志高级中学,635.5,370.0,126.0,116.0,123.0
嘉定区,141026,上海创艺高级中学,528.0,308.0,103.0,100.0,102.0
嘉定区,141027,上海市宝山华曜高级中学,626.5,365.0,124.0,115.0,122.0
嘉定区,141028,上海市同洲模范学校,545.5,318.0,106.0,103.0,105.0
嘉定区,141029,上海金瑞学校,513.5,299.0,100.0,100.0,99.0
嘉定区,141030,上海宝山区世外学校,663.0,386.0,132.0,120.0,128.0
嘉定区,141031,华东师范大学第二附属中学,708.0,412.0,141.0,125.0,138.0
嘉定区,141032,上海师范大学附属中学,689.0,401.0,137.0,123.0,134.0
嘉定区,141033,上海市浦东新区民办浦实高级中学,541.0,315.0,105.0,102.0,104.0
浦东新区,151001,上海市建平中学,699.5,408.0,139.0,123.0,138.0
浦东新区,151002,上海市进才中学,696.5,406.0,138.0,122.0,137.0
浦东新区,151003,上海市实验学校,690.0,402.0,137.0,121.0,135.0
浦东新区,151004,上海市洋泾中学,689.5,402.0,137.0,121.0,135.0
浦东新区,151005,上海市川沙中学,686.5,400.0,136.0,120.0,134.0
浦东新区,151006,上海市南汇中学,674.0,393.0,134.0,119.0,131.0
浦东新区,151007,上海市高桥中学,672.5,392.0,133.0,119.0,131.0
浦东新区,151008,上海市东昌中学,668.0,389.0,132.0,118.0,130.0
浦东新区,151009,上海市上南中学,648.0,378.0,128.0,115.0,125.0
浦东新区,151010,上海市三林中学,635.0,370.0,125.0,113.0,122.0
浦东新区,151011,上海市杨思高级中学,623.0,363.0,123.0,111.0,119.0
浦东新区,151012,上海市新川中学,612.0,357.0,120.0,110.0,116.0
浦东新区,151013,上海市浦东中学,590.0,344.0,115.0,107.0,111.0
浦东新区,151014,上海市高行中学,578.0,337.0,112.0,105.0,108.0
浦东新区,151015,上海市陆行中学,592.0,345.0,116.0,107.0,111.0
浦东新区,151016,上海市沪新中学,560.0,326.0,109.0,103.0,104.0
浦东新区,151017,上海市长岛中学,548.0,319.0,106.0,101.0,101.0
浦东新区,151018,上海市高东中学,566.5,330.0,110.0,104.0,106.0
浦东新区,151019,上海市泥城中学,543.0,316.0,105.0,101.0,102.0
浦东新区,151020,上海市书院中学,684.5,399.0,136.0,120.0,134.0
浦东新区,151021,华东师范大学第二附属中学,709.5,413.0,141.0,125.0,139.0
浦东新区,151022,上海师范大学附属中学,691.5,403.0,137.0,122.0,135.0
浦东新区,151023,上海市实验学校东校,674.5,393.0,134.0,119.0,131.0
浦东新区,151024,上海市建平中学筠溪分校,682.5,398.0,136.0,120.0,133.0
浦东新区,151025,上海市进才中学根林分校,675.0,393.0,134.0,119.0,131.0
浦东新区,151026,上海中学东校,705.5,411.0,140.0,124.0,140.0
浦东新区,151027,上海海事大学附属北蔡高级中学,661.0,385.0,131.0,118.0,127.0
浦东新区,151028,华东师范大学附属东昌中学,668.0,389.0,132.0,118.0,130.0
浦东新区,151029,华东师范大学附属周浦中学,651.0,379.0,129.0,116.0,125.0
浦东新区,151030,上海海洋大学附属大团高级中学,603.0,351.0,119.0,110.0,115.0
浦东新区,151031,上海第二工业大学附属龚路中学,592.5,345.0,116.0,108.0,112.0
浦东新区,151032,上海师范大学附属浦东临港中学,647.0,377.0,129.0,117.0,126.0
浦东新区,151033,上海理工大学附属浦东实验中学,634.0,369.0,126.0,114.0,122.0
浦东新区,151034,华东理工大学附属浦东科技高级中学,659.0,384.0,131.0,118.0,128.0
浦东新区,151035,上海浦东新区民办东鼎外国语学校,549.0,320.0,107.0,102.0,103.0
浦东新区,151036,上海市民办尚德实验学校,621.0,362.0,123.0,113.0,119.0
浦东新区,151037,上海市民办金苹果学校,540.0,315.0,105.0,102.0,103.0
浦东新区,151038,上海浦东新区民办浦实高级中学,518.0,302.0,101.0,100.0,98.0
浦东新区,151039,上海浦东新区民办康德学校,595.0,347.0,117.0,109.0,114.0
浦东新区,151040,上海浦东新区民办光华中学,556.5,324.0,108.0,103.0,105.0
浦东新区,151041,上海浦东新区民办进德外国语中学,731.0,426.0,145.0,128.0,147.0
浦东新区,151042,上海浦东新区民办正达外国语学校,741.0,432.0,148.0,130.0,149.0
浦东新区,151043,上海科技大学附属学校,738.0,430.0,147.0,129.0,149.0
浦东新区,151044,上海市洋泾中学南校,731.0,426.0,145.0,128.0,147.0
浦东新区,151045,上海市实验学校南校,737.5,430.0,147.0,129.0,149.0
浦东新区,151046,上海市张江集团中学,737.5,430.0,147.0,129.0,149.0
金山区,161001,上海市金山中学,657.0,383.0,131.0,118.0,127.0
金山区,161002,华东师范大学第三附属中学,642.5,375.0,128.0,116.0,124.0
金山区,161003,上海师范大学第二附属中学,601.5,351.0,119.0,110.0,115.0
金山区,161004,上海市亭林中学,564.0,329.0,110.0,104.0,106.0
金山区,161005,上海石化工业学校,538.0,314.0,105.0,101.0,101.0
金山区,161006,华东师范大学附属枫泾中学,578.0,337.0,113.0,107.0,109.0
金山区,161007,上海金山区世外学校,627.0,376.0,134.0,108.0,118.0
金山区,161008,上海市民办交大南洋中学,566.0,330.0,110.0,104.0,106.0
金山区,161009,上海金山区健桥实验中学,513.0,,,,
金山区,161010,上海诺美高级中学,513.0,,,,
金山区,161011,上海美达菲双语高级中学,513.0,,,,
松江区,171001,上海市松江二中,692.0,404.0,138.0,121.0,136.0
松江区,171002,上海市松江一中,679.5,396.0,135.0,119.0,133.0
松江区,171003,华东师范大学第二附属中学松江分校,702.0,409.0,140.0,122.0,138.0
