区,700+校名(简称),推算匹配校名(全称),匹配方式,推算考生数,700+人数,700+占比%,说明
闵行区,马桥复旦万科,上海市闵行区马桥复旦万科实验中学,normalized,337,50,14.8,归一化子串(去歧义)
闵行区,七宝实验,上海市七宝实验中学,normalized,323,40,12.4,归一化子串(去歧义)
闵行区,浦江一中,上海市闵行区浦江第一中学,alias,364,10,2.7,人工别名(简称↔全称/分校)
闵行区,晶城中学,上海中医药大学附属闵行晶城中学,normalized,296,35,11.8,归一化子串(去歧义)
闵行区,上宝中学,上海市民办上宝中学,normalized,337,,,归一化子串(去歧义)
松江区,上外西外,上海市西外外国语学校,normalized,259,36,13.9,归一化子串(去歧义)
松江区,工程大泗泾,,unmatched,,,,推算表无该校(0到校名额或数据缺口)，占比留空
松江区,上外云间,,unmatched,,,,推算表无该校(0到校名额或数据缺口)，占比留空
松江区,九亭中学,上海市松江区九亭中学,normalized,701,,,归一化子串(去歧义)
松江区,九峰实验,,unmatched,,,,推算表无该校(0到校名额或数据缺口)，占比留空
松江区,上师大泗泾实验,,unmatched,,,,推算表无该校(0到校名额或数据缺口)，占比留空
青浦区,青教院附中,,unmatched,,5,,推算表无该校(0到校名额或数据缺口)，占比留空
青浦区,青浦实验中学,,ambiguous,,,,多候选歧义，需人工确认，占比留空
青浦区,东方中学,上海市青浦区东方中学,normalized,457,,,归一化子串(去歧义)
青浦区,崧泽学校,上海市青浦区崧泽学校,normalized,225,6,2.7,归一化子串(去歧义)
青浦区,青浦世外,,unmatched,,37,,推算表无该校(0到校名额或数据缺口)，占比留空
青浦区,青浦兰生,上海青浦兰生学校,normalized,123,30,24.4,归一化子串(去歧义)
青浦区,西实验,,unmatched,,,,推算表无该校(0到校名额或数据缺口)，占比留空
青浦区,五浦汇,上海五浦汇实验学校,normalized,225,,,归一化子串(去歧义)
青浦区,华新中学,上海市青浦区华新中学,normalized,348,14,4.0,归一化子串(去歧义)
青浦区,凤溪中学,上海市青浦区凤溪中学,normalized,167,,,归一化子串(去歧义)
青浦区,崧淀中学,上海政法学院附属青浦崧淀中学,normalized,109,3,2.8,归一化子串(去歧义)
青浦区,重固中学,上海师范大学附属青浦重固学校,normalized,130,2,1.5,归一化子串(去歧义)
青浦区,青浦一中,,unmatched,,30,,推算表无该校(0到校名额或数据缺口)，占比留空
金山区,金山世外,,ambiguous,,,,多候选歧义，需人工确认，占比留空
崇明区,民一中学,上海民办民一中学,normalized,174,,,归一化子串(去歧义)
崇明区,江帆中学,上海市向明初级中学附属崇明区江帆中学,normalized,223,,,归一化子串(去歧义)
崇明区,东门中学,上海市崇明中学附属东门中学,normalized,509,,,归一化子串(去歧义)
奉贤区,崇实中学,上海市奉贤区崇实中学,normalized,294,,,归一化子串(去歧义)
奉贤区,弘文学校,上海市奉贤区弘文学校,normalized,180,,,归一化子串(去歧义)
奉贤区,汇贤中学,上海市奉贤区汇贤中学,normalized,294,,,归一化子串(去歧义)
奉贤区,青溪中学,上海市奉贤区青溪中学,normalized,212,,,归一化子串(去歧义)
嘉定区,嘉定世外,,unmatched,,,,推算表无该校(0到校名额或数据缺口)，占比留空
嘉定区,华曜嘉定,上海民办华曜嘉定初级中学,normalized,241,,,归一化子串(去歧义)
嘉定区,嘉华二,,unmatched,,60,,推算表无该校(0到校名额或数据缺口)，占比留空
嘉定区,洪德中学,交大附中附属嘉定洪德中学,normalized,241,37,15.4,归一化子串(去歧义)
嘉定区,新城实验中学,上海市嘉定区新城实验中学,normalized,326,30,9.2,归一化子串(去歧义)
嘉定区,南翔中学,上海市嘉定区南翔中学,normalized,298,9,3.0,归一化子串(去歧义)
浦东新区,建平西校,上海市建平实验中学,normalized,565,300,53.1,归一化子串(去歧义)
浦东新区,尚德实验,上海市民办尚德实验学校,alias,468,102,21.8,人工别名(简称↔全称/分校)
浦东新区,张江集团中学,上海市张江集团中学,alias,274,100,36.5,人工别名(简称↔全称/分校)
浦东新区,建平地杰,上海市建平实验中学,normalized,565,114,20.2,归一化子串(去歧义)
浦东新区,建平张江,上海市建平实验中学,normalized,565,40,7.1,归一化子串(去歧义)
浦东新区,交中初级,上海民办浦东交中初级中学,alias,178,50,28.1,人工别名(简称↔全称/分校)
浦东新区,欣竹中学,上海浦东新区民办欣竹中学,normalized,387,60,15.5,归一化子串(去歧义)
浦东新区,华曜浦东,上海民办华曜浦东实验学校,alias,210,40,19.0,人工别名(简称↔全称/分校)
浦东新区,上中东校,上海中学东校,alias,484,,,人工别名(简称↔全称/分校)
浦东新区,华二前滩,华东师范大学第二附属中学前滩学校,alias,178,50,28.1,人工别名(简称↔全称/分校)
浦东新区,建平远翔,上海浦东新区民办远翔实验学校,alias,210,,,人工别名(简称↔全称/分校)
浦东新区,浦外,,unmatched,,,,推算表无该校(0到校名额或数据缺口)，占比留空
浦东新区,建平临港,上海市浦东新区建平临港中学,normalized,274,,,归一化子串(去歧义)
浦东新区,川沙南校,上海市川沙中学南校,alias,533,25,4.7,人工别名(简称↔全称/分校)
浦东新区,进才森兰,上海市浦东新区进才森兰实验中学,normalized,274,30,10.9,归一化子串(去歧义)
浦东新区,进才实验,上海市进才实验中学,alias,404,,,人工别名(简称↔全称/分校)
浦东新区,北蔡中学,上海市北蔡中学,normalized,420,,,归一化子串(去歧义)
