字段数据字典（各 Sheet 字段含义、取值/单位、注意事项）,,,,
,,,,
所属 Sheet,字段名,含义,取值 / 单位,注意事项
初中学校排行榜(分区分榜),生源强度指数(区内z),该校到校线在区内池的标准分均值,小数,z=(分-区内该市重均值)/标准差，跨市重取均值；消除市重难度差异
初中学校排行榜(分区分榜),700+人数,该校 700+ 人数,整数/空,来自『初中校700分以上人数(民间统计)』；空=未统计到
初中学校排行榜(分区分榜),700+占比%(推算),700+人数÷推算考生数,0-100/空,高分密度；空=无700+统计
初中学校排行榜(分区分榜),综合得分(数据+声誉),0.20×A+0.15×B+0.65×D 归一化,0-100/空,含声誉校用三档合成(声誉主导)；无声誉回退A:B=6:4并标『声誉待补』；区内归一化
初中学校排行榜(分区分榜),区内排名A,按生源强度指数的区内名次,整数,主排序
初中学校排行榜(分区分榜),区内排名B,按700+占比的区内名次,整数/空,仅双覆盖校
初中学校排行榜(分区分榜),区内排名C,按综合得分的区内名次,整数/空,仅双覆盖校
初中学校排行榜(分区分榜),全市排名A,按生源强度(全市z)的全市名次,整数,跨区仅供参考
初中学校排行榜(分区分榜),数据完整度,全量(仅A)/双覆盖,枚举,是否有700+民间统计
最低投档控制线,招生类别,招生批次类别,文本,自招/名额分配/普高/中本贯通等
最低投档控制线,最低投档控制分数线(分),该批次最低投档门槛,0-750,低于此线不能投档；名额分配=615，普高=501
最低投档控制线,备注,政策依据,文本,
全市成绩分布(一分一段),分数(≥),分数阈值,整数,达到该分及以上
全市成绩分布(一分一段),全市累计位次(人),该分数及以上人数,整数,真实锚点为官方/媒体确认值
全市成绩分布(一分一段),性质,数据性质,真实锚点/预测,预测分档非官方
全市成绩分布(一分一段),说明,备注,文本,
全市成绩分布(一分一段),分数段,预测分档区间,文本,民间预测，仅供参考
全市成绩分布(一分一段),预估累计位次,预估全市位次,文本,民间预测
全市成绩分布(一分一段),对应梯队,对应高中梯队,文本,
市重招生计划汇总,招生批次,招生批次名,文本,自招/到区/到校/统招/合计
市重招生计划汇总,招生计划数(人),该批次招生人数,整数,合计 30728
市重招生计划汇总,备注,说明,文本,
市重招生计划汇总,类别,高中类别,文本,市重/区重/特色/普高
市重招生计划汇总,数量(所),该类高中数量,整数,全市高中合计 312 所
名额分配到区计划(市重77所),招生代码,高中学校代码,文本,跨表联动键(与平行志愿一致)
名额分配到区计划(市重77所),学校名称,高中学校名称,文本,联动键(校名)
名额分配到区计划(市重77所),所属区,高中所在区,文本,
名额分配到区计划(市重77所),办别,办学性质,公办/民办,
名额分配到区计划(市重77所),学校类型,学校类别,文本,市实验性示范性高中或享受同政策
名额分配到区计划(市重77所),寄宿情况,是否寄宿,文本,全部寄宿/部分寄宿/不寄宿
名额分配到区计划(市重77所),计划数,该校分配到区名额总数,整数,合计 7171；为供给量
平行志愿分数线,区,高中所在区,文本,注意与到区『接收区』口径不同
平行志愿分数线,招生代码,高中学校代码,文本,跨表联动键
平行志愿分数线,招生学校,高中学校名称,文本,联动键(校名)
平行志愿分数线,录取最低分,该校本区统招录取最低分,0-750,⚠ 满分750(学业考)，不含综评
平行志愿分数线,语数外,语文+数学+外语合计,0-450,
平行志愿分数线,数学,数学单科,0-150,
平行志愿分数线,语文,语文单科,0-150,
平行志愿分数线,综合测试,综合测试(物理+化学+跨学科+实验),0-150,
平行志愿分数线,是否同分优待,是否享受同分优待/政策加分,是/否,
平行志愿分数线,备注,说明,文本,
各区分数水平(平行志愿代理),区,区名,文本,按区汇总联动键
各区分数水平(平行志愿代理),高中数(本区招生),该区平行志愿招生高中数,整数,源自『平行志愿分数线』；宝山仅6所头部校
各区分数水平(平行志愿代理),平行志愿线均值,本区各高中录取最低分均值,小数,区级分数水平代理(非一分一段)
各区分数水平(平行志愿代理),中位数,本区各高中录取最低分中位数,小数,比均值更抗极端值
各区分数水平(平行志愿代理),最高线,本区最高录取线,小数,多为四校/四分分校
各区分数水平(平行志愿代理),最低线,本区最低录取线,小数,多为尾部普高/民办
各区分数水平(平行志愿代理),≥700占比%,录取线≥700的高中占比,0-100,越高说明该区头部校越密集
各区分数水平(平行志愿代理),≥680占比%,录取线≥680的高中占比,0-100,
各区分数水平(平行志愿代理),≥650占比%,录取线≥650的高中占比,0-100,
各区分数水平(平行志愿代理),数据状态,数据完整度,文本,完整·官方线 / 部分·宝山仅头部6所
名额到区录取分数线,接收区,获得名额的区(考生来源区),文本,≠高中所在区
名额到区录取分数线,招生学校,高中学校名称,文本,联动键(校名)
名额到区录取分数线,隶属区,高中所在区,文本,
名额到区录取分数线,办学性质,公办/民办,文本,
名额到区录取分数线,录取最低分,该区到区录取最低分,0-800,⚠ 满分800(含综评50)
名额到区录取分数线,语数外,语文+数学+外语合计,0-450,
名额到区录取分数线,数学,数学单科,0-150,
名额到区录取分数线,语文,语文单科,0-150,
名额到区录取分数线,综合测试,综合测试,0-150,
名额到区录取分数线,是否同分优待,是否同分优待,是/否,
名额到校录取分数线,区,初中所在区,文本,初中生源区
名额到校录取分数线,初中学校,生源初中学校,文本,本数据集最细粒度维度
名额到校录取分数线,招生学校,录取高中学校,文本,联动键(校名)
名额到校录取分数线,录取最低分,该初中→该高中录取最低分,0-800,⚠ 满分800(含综评50)
名额到校录取分数线,综合素质评价,综合考查成绩,0-50,已计入『录取最低分』，勿重复加
名额到校录取分数线,语数外,语文+数学+外语合计,0-450,
名额到校录取分数线,数学,数学单科,0-150,
名额到校录取分数线,语文,语文单科,0-150,
名额到校录取分数线,综合测试,综合测试,0-150,
名额到校录取分数线,是否同分优待,是否同分优待,是/否,
名额分配到校计划(逐校),区,初中所在区,文本,初中生源区
名额分配到校计划(逐校),初中学校,生源初中学校,文本,
名额分配到校计划(逐校),招生学校,录取高中学校,文本,联动键(校名)
名额分配到校计划(逐校),计划数,该初中分到该高中的到校名额数,整数,为供给量；与录取分数线不同，是计划而非结果
各区统招(1-15志愿)计划,区,区名,文本,
各区统招(1-15志愿)计划,本区高中计划(人),本区高中面向本区招生数,整数,
各区统招(1-15志愿)计划,外区高中计划(人),本区高中面向外区招生数,整数,部分区缺失填『—』
各区统招(1-15志愿)计划,合计(人),本区统招计划总数,整数,
各区统招(1-15志愿)计划,备注,说明,文本,
数据覆盖与缺口,维度,数据维度名,文本,
数据覆盖与缺口,覆盖情况,覆盖状态,✅/⚠️/❌,✅完整 ⚠️部分/估算 ❌未公布
数据覆盖与缺口,说明,缺口详情,文本,
汇总透视,招生学校,高中学校名称,文本,按高中汇总的联动键(校名)
汇总透视,到区计划数,该校名额分配到区总计划,整数,来自『名额分配到区计划(市重77所)』
汇总透视,到校计划数(合计),该校名额分配到校总计划(逐校合计),整数,来自『名额分配到校计划(逐校)』(16区已并入)
汇总透视,到校覆盖初中数,拿到该校到校名额的初中数,整数,来自『名额到校录取分数线』去重
汇总透视,到区录取线(最低·800制),该校到区录取最低分(各区最低),0-800,⚠ 800分制(含综评50)
汇总透视,平行志愿线(最低·750制),该校统招录取最低分(各区最低),0-750,⚠ 750分制(不含综评)
汇总透视,区,区名,文本,按区汇总行
汇总透视,到校计划数合计,该区全部初中到校计划之和,整数,来自『名额分配到校计划(逐校)』(16区已并入)
汇总透视,享受到校初中数,该区享有到校名额的初中数,整数,
汇总透视,到校录取线覆盖初中数,该区有到校录取线记录的初中数,整数,来自『名额到校录取分数线』
汇总透视,平行志愿招生学校数,该区统招批次招生高中数,整数,来自『平行志愿分数线』
汇总透视,到区录取线高中数(接收),该区作为接收区拿到到区计划的高中数,整数,来自『名额到区录取分数线』
