各初中学校 700 分以上人数（民间统计，非官方）,,,,,,,,,,,
数据来源：上海中考/教培类公众号、视频号、今日头条等民间渠道的 2026 中考高分统计汇总（上海择校升学转学·冯老师 2026-07-16、锐思教育·坦途网 2026-07-17、今日头条『700分+扎堆』2026-07-18 等）。这是『初中校分数分布』在 700 分以上的高分段尾巴，仅部分初中有统计，并非完整分数分布，也不是考生人数。『可靠度』列标注：多源一致 / 单一来源 / 网传存疑 / 仅最高分。网传或口径冲突的数据已在『备注』说明，请勿直接使用此类数字做精确比较；本表仅供了解各校高分产出量级。『700+占比%(推算)』= 该校700+人数 ÷ 『各初中考生人数(推算)』推算考生数。校名匹配采用三档稳健策略（精确→人工别名[简称↔全称/分校]→归一化子串去歧义），并在『推算匹配校名(全称)』『匹配方式』两列标注；未能唯一匹配（推算表无该校 / 多候选歧义 / 数据缺口）的，占比留空，详见 match_report_700plus.csv 人工复查。,,,,,,,,,,,
区,初中学校,推算匹配校名(全称),匹配方式,700+人数,710+人数,720+人数,最高分,中考人数(已知),700+占比%(推算),可靠度,备注
闵行区,七宝鑫都,上海市七宝实验中学,归一化,,,,736,,,网传存疑,最高736；700+大几十(梦回)
闵行区,上宝中学,上海市民办上宝中学,归一化,,60,,,,,单一来源,720+60+(梦回)；700+未明确(应≥60+)
宝山区,至德实验,上海民办至德实验学校,归一化,83,,,732.5,415,28.6,多源一致,700+83占比20%(梦回)；最高732.5(头条)；中考≈415
嘉定区,嘉华二,,未匹配(数据缺口),60,30,,727.5,222,,单一来源,700+60/710+30/占比27%(中考≈222)/690+45%(梦回)
嘉定区,洪德中学,交大附中附属嘉定洪德中学,归一化,37,,,,,15.4,单一来源,700+37(梦回)
嘉定区,新城实验中学,上海市嘉定区新城实验中学,归一化,30,,,,,9.2,单一来源,700+30+/最高724(梦回)
嘉定区,南翔中学,上海市嘉定区南翔中学,归一化,9,,,722,,3,单一来源,700+9/最高722(梦回)
嘉定区,嘉定世外,,未匹配(数据缺口),,,,735.5,,,仅最高分,最高735.5(梦回/头条)
嘉定区,华曜嘉定,上海民办华曜嘉定初级中学,归一化,,,,727.5,,,仅最高分,最高727.5(梦回)
松江区,上外西外,上海市西外外国语学校,归一化,36,,,733.5,,13.9,多源一致,最高733.5松江状元；700+36/680+76(梦回/锐思)
松江区,工程大泗泾,,未匹配(数据缺口),,,,733,,,仅最高分,最高733松江榜眼(梦回)
松江区,上外云间,,未匹配(数据缺口),,,,726,,,仅最高分,最高726(梦回)
松江区,九亭中学,上海市松江区九亭中学,归一化,,,,724.5,,,仅最高分,最高724.5(梦回)
松江区,九峰实验,,未匹配(数据缺口),,,,726.5,,,仅最高分,最高726.5(梦回)
松江区,上师大泗泾实验,,未匹配(数据缺口),,,,717,,,仅最高分,最高717(梦回)
青浦区,青浦世外,,未匹配(数据缺口),37,,,733,90,,单一来源,700+占比41%×90≈37；年级均分690(梦回)
青浦区,青浦兰生,上海青浦兰生学校,归一化,30,7,,734.5,,24.4,单一来源,700+30/720+7/最高734.5(梦回)
青浦区,青浦一中,,未匹配(数据缺口),30,,,,,,单一来源,700+30+(梦回)
青浦区,华新中学,上海市青浦区华新中学,归一化,14,,,722,,4,单一来源,火箭班700+14/最高722(梦回)
青浦区,崧泽学校,上海市青浦区崧泽学校,归一化,6,,,724,,2.7,单一来源,700+5-6/最高724(梦回)
青浦区,青教院附中,,未匹配(数据缺口),5,,,730.5,,,单一来源,700+5/最高730.5(梦回)
青浦区,崧淀中学,上海政法学院附属青浦崧淀中学,归一化,3,,,717.5,,2.8,单一来源,700+3/最高717.5(梦回)
青浦区,重固中学,上海师范大学附属青浦重固学校,归一化,2,,,715,,1.5,单一来源,700+2/最高715(梦回)
青浦区,青浦实验中学,,歧义(需人工),,,,734.5,,,仅最高分,最高734.5(含10分加分)(梦回/冯)
青浦区,东方中学,上海市青浦区东方中学,归一化,,,,721,,,仅最高分,最高721(梦回)
青浦区,西实验,,未匹配(数据缺口),,,,734,,,仅最高分,最高734(含10分附加)(梦回)
青浦区,五浦汇,上海五浦汇实验学校,归一化,,5,,725,,,单一来源,720+5/最高725(梦回)
青浦区,凤溪中学,上海市青浦区凤溪中学,归一化,,,,721.5,,,仅最高分,最高721.5(梦回)
奉贤区,崇实中学,上海市奉贤区崇实中学,归一化,,,15,,,,单一来源,710+15(头条/梦回)
奉贤区,弘文学校,上海市奉贤区弘文学校,归一化,,,,725,,,仅最高分,最高725/721.5/712.5(梦回)
奉贤区,汇贤中学,上海市奉贤区汇贤中学,归一化,,,,731.5,,,仅最高分,最高731.5(梦回)
奉贤区,青溪中学,上海市奉贤区青溪中学,归一化,,,,708,,,仅最高分,已知708(梦回)
金山区,金山世外,,歧义(需人工),,,,735,,,仅最高分,最高735(梦回)——金山首条
崇明区,民一中学,上海民办民一中学,归一化,,,,725,,,仅最高分,最高725(梦回)
崇明区,江帆中学,上海市向明初级中学附属崇明区江帆中学,归一化,,,,722,,,仅最高分,最高722(梦回)
崇明区,东门中学,上海市崇明中学附属东门中学,归一化,,,,708,,,仅最高分,已知708(梦回)
